day,weth_balance,usdc_balance,weth_usd,usdc_usd,tvl,tvl_change,liquidity_flow,prev_tvl_change,prev_flow,tvl_ma_3d,tvl_ma_7d,tvl_ma_30d,tvl_momentum,pool_ratio,tvl_volatility_7d,day_of_week,month,pct_from_ma7
2024-12-16 00:00:00+00:00,7223.841969146757,93088846.21655932,28721946.005413976,93095949.41268584,121817895.4180998,-14239473.022936568,0,-22527145.703979224,0.0,138819926.00138393,133791961.76466334,134481736.7288578,-11974066.346563533,0.23577772302530225,20818460.535255086,0,12,-8.949765134340142
2024-12-17 00:00:00+00:00,10591.123130134394,93639452.0842171,42161783.94003678,93650506.74175473,135812290.68179148,13994395.263691679,1,-14239473.022936568,0.0,131229184.84697591,137538007.80032733,132937638.10114795,-1725717.1185358465,0.3104415935286883,17891175.737891585,1,12,-1.254720165091514
2024-12-18 00:00:00+00:00,19065.877865692193,74794608.66451743,73089082.51870981,74823752.59154627,147912835.11025608,12100544.428464592,1,13994395.263691679,1.0,135181007.07004914,142894416.72730592,132109018.14563067,5018418.382950157,0.49413617462087245,13489921.751432175,2,12,3.5119765333638675
2024-12-19 00:00:00+00:00,22025.761906884694,62406663.641824394,79322646.6604903,62442195.35248658,141764842.01297688,-6147993.097279191,0,12100544.428464592,1.0,141829989.2683415,143057674.7430494,132029816.55690941,-1292832.7300725281,0.5595368042891006,13464729.142740496,3,12,-0.9037143462555417
2024-12-20 00:00:00+00:00,19892.31834243657,65717271.14141145,67055890.33368004,65764349.12334046,132820239.45702048,-8944602.555956408,0,-6147993.097279191,0.0,140832638.8600845,139252855.0380281,131955076.77268283,-6432615.581007615,0.5048619894664379,11707713.661543919,4,12,-4.619377878644537
2024-12-21 00:00:00+00:00,21934.44135891083,59596660.11233109,75181507.96000442,59641195.992861405,134822703.95286584,2002464.4958453625,1,-8944602.555956408,0.0,136469261.8076211,135858310.72486383,131934900.25569531,-1035606.7719979882,0.5576323998537216,8038200.796141345,5,12,-0.7622697253282267
2024-12-22 00:00:00+00:00,22317.822733194975,57732591.117102206,74417708.95831698,57788903.446385935,132206612.40470292,-2616091.5481629223,0,2002464.4958453625,1.0,133283185.27152975,135308202.71967337,131765588.5228941,-3101590.3149704486,0.5628894622192873,8153250.651938312,6,12,-2.2922411595372463
2024-12-23 00:00:00+00:00,19788.50738232743,68220600.52227336,65930681.03431406,68276869.25258751,134207550.28690156,2000937.8821986467,1,-2616091.5481629223,0.0,133745622.21482347,137078153.41521648,131996006.01602462,-2870603.1283149123,0.49125910497115144,5717618.146196798,0,12,-2.0941361236605767
2024-12-24 00:00:00+00:00,26927.5686983488,71842027.875085,92496737.9651872,71886265.10265172,164383003.0678389,30175452.780937344,1,2000937.8821986467,1.0,143599055.2531478,141159683.7560804,133173778.91681428,23223319.31175852,0.5626904013124453,11715282.897587532,1,12,16.45180740974718
2024-12-25 00:00:00+00:00,26629.460255411846,71774540.68234986,92735973.75838546,71817868.58007503,164553842.3384605,170839.27062159777,1,30175452.780937344,1.0,154381465.23106703,143536970.50296673,134274054.81023228,21016871.835493773,0.5635600630196325,14637897.599779353,2,12,14.642131404786324
2024-12-26 00:00:00+00:00,29854.46122060537,61038026.22461337,101049118.44942242,61076196.82057574,162125315.26999816,-2428527.068462342,0,170839.27062159777,1.0,163687386.89209923,146445609.53968406,135330335.1367259,15679705.730314106,0.6232778531911475,16169792.47094904,3,12,10.706845892887758
2024-12-27 00:00:00+00:00,30118.556829222085,60935743.56168538,101268922.48965658,60981456.16006103,162250378.64971763,125063.37971946597,1,-2428527.068462342,0.0,162976512.08605877,150649915.1386408,136033741.91289255,11600463.511076838,0.6241521488728607,15859696.55587917,4,12,7.700278822195891
2024-12-28 00:00:00+00:00,28682.858608170543,65930595.33881524,96438209.34486751,65986273.726578735,162424483.07144627,174104.4217286408,1,125063.37971946597,1.0,162266725.6637207,154593026.44129515,137389723.33035848,7831456.630151123,0.5937418271015639,14654253.068288835,5,12,5.065853751899362
2024-12-29 00:00:00+00:00,30271.53431639519,62462564.6418083,102284825.75423896,62554320.41419594,164839146.16843492,2414663.096988648,1,174104.4217286408,1.0,163171335.96319965,159254816.97897115,138787515.11194667,5584329.189463764,0.6205129553978818,11106966.258927697,6,12,3.5065370676989622
2024-12-30 00:00:00+00:00,21618.95969536768,63344606.09445694,73215488.7856637,63405711.20479015,136621199.99045384,-28217946.17798108,0,2414663.096988648,1.0,154628276.4101117,159599624.0794786,139287074.44779637,-22978424.089024752,0.5359013739505984,10200253.285622139,0,12,-14.397542739562963
