day,weth_balance,usdc_balance,weth_usd,usdc_usd,tvl
2025-04-11 00:00:00.000 UTC,52955.29791147205,18762300.016102225,82459371.56245856,18773090.618752073,101232462.18121064
2025-04-12 00:00:00.000 UTC,51533.95722469817,17667276.04140368,82857300.2644117,17677289.154134244,100534589.41854596
2025-04-13 00:00:00.000 UTC,53509.226171328,15862174.777781874,86159342.73368727,15873166.053208882,102032508.78689615
2025-04-14 00:00:00.000 UTC,52864.37289162494,17182656.23996535,86668765.96574453,17193378.3367831,103862144.30252762
2025-04-15 00:00:00.000 UTC,53998.71809735395,15900700.593098553,87818724.60226087,15910465.61085032,103729190.2131112
2025-04-16 00:00:00.000 UTC,54327.02264343844,19245517.31084743,85989405.64184438,19256591.234967843,105245996.87681222
2025-04-17 00:00:00.000 UTC,56914.55638241094,18080147.073199894,90674856.2693468,18089748.25907867,108764604.52842546
2025-04-18 00:00:00.000 UTC,55408.36655829988,21148190.85171452,87987281.73216824,21159725.794630993,109147007.52679925
2025-04-19 00:00:00.000 UTC,52084.07220193268,25846635.58606544,83589074.61750448,25860697.95072952,109449772.568234
2025-04-20 00:00:00.000 UTC,54143.85026100454,21704533.31814781,86254721.69591205,21716215.933932222,107970937.62984428
2025-04-21 00:00:00.000 UTC,53846.103390775635,20582449.88060251,87023465.99919462,20588406.570238277,107611872.5694329
2025-04-22 00:00:00.000 UTC,47633.28420576897,34904432.40548816,78375956.34011905,34910269.08104442,113286225.42116348
2025-04-23 00:00:00.000 UTC,43556.35595240294,31468392.14658299,78058051.78071208,31467230.32917442,109525282.1098865
2025-04-24 00:00:00.000 UTC,45269.44393872448,28625391.16894856,79926956.86521155,28630096.964590423,108557053.82980198
2025-04-25 00:00:00.000 UTC,44226.93424880401,30503917.722791582,78859642.8681431,30506483.1234552,109366125.9915983
2025-04-26 00:00:00.000 UTC,42771.62111988403,32922257.157885343,77143326.53828537,32929525.77497353,110072852.3132589
2025-04-27 00:00:00.000 UTC,43993.34376235628,30753972.09966603,79445399.69135793,30766375.881392386,110211775.57275032
